src	trg	degree
Sondergaard	Jon Vejlemand	14
Sondergaard	Robin Che	14
Sondergaard	Anton Westerlin	87
Sondergaard	Kristian Rose	15
Sondergaard	Nomi & Loke	14
Sondergaard	Frommerjoe	14
Sondergaard	Lucas (DNK)	14
Sondergaard	Uden Filter	14
Sondergaard	Nikolaj Pellegrini	14
Sondergaard	MAANE	14
Sondergaard	Tobias Elkær	14
Sondergaard	Vejlemand	14
Sondergaard	Albert Heath	36
Denmark Vessey	Big Sen	36
Denmark Vessey	Merrill Garbus	36
Denmark Vessey	Earl Sweatshirt	36
Denmark Vessey	Chris Keys	36
Denmark Vessey	Quelle Chris	36
Denmark Vessey	E L U C I D	36
Denmark Vessey	Ronnie “Hands” Palmolive	36
Denmark Vessey	Maurese	36
Denmark Vessey	Cavalier	36
Denmark Vessey	Iman Omari	36
Denmark Vessey	Goose of Wasted Youth	36
Denmark Vessey	Vic Spencer	36
Denmark Vessey	DrxQuinnX	36
Denmark Vessey	​randomblackdude	36
Denmark Vessey	ADäD	36
Denmark Vessey	J Jig Cicero	36
Denmark Vessey	T-White	36
Denmark Vessey	​eLZhi	36
Denmark Vessey	Knxwledge	36
Denmark Vessey	Azarias	36
Denmark Vessey	Exile	36
Denmark Vessey	Tha God Fahim	36
Denmark Vessey	Yasiin Bey	36
Denmark Vessey	Crown Nation	36
Denmark Vessey	Gensu Dean	36
Denmark Vessey	Open Mike Eagle	36
Denmark Vessey	Conway the Machine	36
Denmark Vessey	MC Tree G	36
Denmark Vessey	Scud One	36
Denmark Vessey	Fresh Daily	36
Denmark Vessey	Tanya Morgan	36
Denmark Vessey	Mach-Hommy	36
Denmark Vessey	Guilty Simpson	36
Denmark Vessey	Sene	36
Denmark Vessey	Blu	36
Mumle	Svea S	15
Mumle	Oochie	17
Mumle	Jesper “Vivid” Vestergaard	18
Mumle	Magnus Østergaard	13
Mumle	Mark Steinbach	13
Mumle	Tim Steinbach	13
Mumle	Frederik Carstens	15
Mumle	Samuel Ledet	16
Mumle	Marcus.wav	14
Mumle	Berg (DNK)	13
Mumle	Orgi-E	26
Mumle	Andreas “Maskinen” Sommer	19
D1MA	Martin René	20
D1MA	Kasper Svare	23
D1MA	Villads Sofus Bertelsen	22
D1MA	Miggy Dela Rosa	19
D1MA	Frederik Thaae	27
D1MA	Østen	30
D1MA	Anton Westerlin	92
D1MA	Nolan Sarnicki	20
D1MA	Frank Moses	20
D1MA	Encore (Producer)	20
D1MA	Alibi (Producer)	20
D1MA	Nicki Pooyandeh	35
D1MA	SYL	19
D1MA	VC Barre	19
D1MA	Clara Sofie	23
D1MA	KEWAN LIGGER BEATET NORMALT	37
D1MA	Oliver Cilwik	25
D1MA	Tobias Rahim	76
Saveus	Coach & Sendo	26
Saveus	Arni Bergmann  Johannsson	26
Saveus	Simon MacGregor	26
Saveus	이수만 (Lee Soo Man)	26
Saveus	Fridolin Nordsø	38
Saveus	Frederik Nordsø	36
Saveus	JINBYJIN (진바이진)	26
Saveus	Park Geun Tae (박근태)	26
Saveus	カミカオル (KAMIKAORU)	26
Saveus	Frederik Thaae	34
Saveus	Harry Sommerdahl	26
Saveus	Søren Buhl Lassen	28
Saveus	Thomas Troelsen	26
Saveus	Remee	30
Saveus	Andrew Jackson	26
Saveus	임광욱 (Kei Lim)	26
Saveus	Mafly	26
Saveus	Nadine Coyle	26
Saveus	Jonathan Elkær	33
Saveus	Daniel Caesar (of Caesar & Loui)	26
Saveus	Ludwig Lindell	26
Saveus	전간디 (Jeon Gan Dhi)	26
Saveus	Christopher Luke Biddiscombe	26
Saveus	Bayboy Too Real	26
Saveus	Gilli	103
Ukendt Kunstner	Jens Ole McCoy	48
Ukendt Kunstner	Sivas	59
Ukendt Kunstner	Jesper “Vivid” Vestergaard	42
Ukendt Kunstner	Murro	43
Ukendt Kunstner	T-Minus	38
Ukendt Kunstner	Tue Track	44
Ukendt Kunstner	Lord Siva	82
Ukendt Kunstner	David Lincoln	38
Ukendt Kunstner	Rebecca Christel	38
Ukendt Kunstner	KESI	108
Ukendt Kunstner	Kimbo	45
Ukendt Kunstner	Gilli	114
Ukendt Kunstner	Semphiz	48
Ukendt Kunstner	Silas Moldenhawer	38
Ukendt Kunstner	Nick Kold Eriksen	38
Ukendt Kunstner	Ghost Notes	38
Ukendt Kunstner	Stepz (DNK)	48
Ukendt Kunstner	K.N.O.X. (DNK)	42
Ukendt Kunstner	Gio (DNK)	48
Ukendt Kunstner	Branco	132
Ukendt Kunstner	Tjes	42
Ukendt Kunstner	Sultan	42
Ukendt Kunstner	Ataf Khawaja	45
Ukendt Kunstner	ATYPISK	80
Ukendt Kunstner	Stat-Ez	44
Ukendt Kunstner	Skurken	46
Ukendt Kunstner	Mass Ebdrup	43
Ukendt Kunstner	Danny Davinci	42
Ukendt Kunstner	Artigeardit	100
Ukendt Kunstner	Caroline Henderson	38
Ukendt Kunstner	​tais	44
Ukendt Kunstner	F.P. Jac	37
Ukendt Kunstner	Morten McCoy	39
Ukendt Kunstner	Helge Rode	37
