src	trg	nij
Sondergaard	Jon Vejlemand	1.0
Sondergaard	Robin Che	1.0
Sondergaard	Anton Westerlin	1.0
Sondergaard	Kristian Rose	1.0
Sondergaard	Nomi & Loke	1.0
Sondergaard	Frommerjoe	1.0
Sondergaard	Lucas (DNK)	1.0
Sondergaard	Uden Filter	1.0
Sondergaard	Nikolaj Pellegrini	1.0
Sondergaard	MAANE	1.0
Sondergaard	Tobias Elkær	1.0
Sondergaard	Vejlemand	1.0
Sondergaard	Albert Heath	1.0
Denmark Vessey	Big Sen	1.0
Denmark Vessey	Merrill Garbus	1.0
Denmark Vessey	Earl Sweatshirt	1.0
Denmark Vessey	Chris Keys	1.0
Denmark Vessey	Quelle Chris	1.0
Denmark Vessey	E L U C I D	1.0
Denmark Vessey	Ronnie “Hands” Palmolive	1.0
Denmark Vessey	Maurese	1.0
Denmark Vessey	Cavalier	1.0
Denmark Vessey	Iman Omari	1.0
Denmark Vessey	Goose of Wasted Youth	1.0
Denmark Vessey	Vic Spencer	1.0
Denmark Vessey	DrxQuinnX	1.0
Denmark Vessey	​randomblackdude	1.0
Denmark Vessey	ADäD	1.0
Denmark Vessey	J Jig Cicero	1.0
Denmark Vessey	T-White	1.0
Denmark Vessey	​eLZhi	1.0
Denmark Vessey	Knxwledge	1.0
Denmark Vessey	Azarias	1.0
Denmark Vessey	Exile	1.0
Denmark Vessey	Tha God Fahim	1.0
Denmark Vessey	Yasiin Bey	1.0
Denmark Vessey	Crown Nation	1.0
Denmark Vessey	Gensu Dean	1.0
Denmark Vessey	Open Mike Eagle	1.0
Denmark Vessey	Conway the Machine	1.0
Denmark Vessey	MC Tree G	1.0
Denmark Vessey	Scud One	1.0
Denmark Vessey	Fresh Daily	1.0
Denmark Vessey	Tanya Morgan	1.0
Denmark Vessey	Mach-Hommy	1.0
Denmark Vessey	Guilty Simpson	1.0
Denmark Vessey	Sene	1.0
Denmark Vessey	Blu	1.0
Mumle	Svea S	1.0
Mumle	Oochie	1.0
Mumle	Jesper “Vivid” Vestergaard	1.0
Mumle	Magnus Østergaard	1.0
Mumle	Mark Steinbach	1.0
Mumle	Tim Steinbach	1.0
Mumle	Frederik Carstens	1.0
Mumle	Samuel Ledet	1.0
Mumle	Marcus.wav	1.0
Mumle	Berg (DNK)	1.0
Mumle	Orgi-E	1.0
Mumle	Andreas “Maskinen” Sommer	1.0
D1MA	Martin René	1.0
D1MA	Kasper Svare	1.0
D1MA	Villads Sofus Bertelsen	1.0
D1MA	Miggy Dela Rosa	1.0
D1MA	Frederik Thaae	1.0
D1MA	Østen	1.0
D1MA	Anton Westerlin	1.0
D1MA	Nolan Sarnicki	1.0
D1MA	Frank Moses	1.0
D1MA	Encore (Producer)	1.0
D1MA	Alibi (Producer)	1.0
D1MA	Nicki Pooyandeh	1.0
D1MA	SYL	1.0
D1MA	VC Barre	1.0
D1MA	Clara Sofie	1.0
D1MA	KEWAN LIGGER BEATET NORMALT	1.0
D1MA	Oliver Cilwik	1.0
D1MA	Tobias Rahim	1.0
Saveus	Coach & Sendo	1.0
Saveus	Arni Bergmann  Johannsson	1.0
Saveus	Simon MacGregor	1.0
Saveus	이수만 (Lee Soo Man)	1.0
Saveus	Fridolin Nordsø	1.0
Saveus	Frederik Nordsø	1.0
Saveus	JINBYJIN (진바이진)	1.0
Saveus	Park Geun Tae (박근태)	1.0
Saveus	カミカオル (KAMIKAORU)	1.0
Saveus	Frederik Thaae	1.0
